ident;name;latitude_deg;longitude_deg;elevation_ft
LTBA;Atatürk International Airport;40,97689819;28,81459999;163
LTBJ;Adnan Menderes International Airport;38,29240036;27,15699959;412
LTBS;Dalaman International Airport;36,71310043;28,79249954;20
LTCE;Erzurum International Airport;39,95650101;41,17020035;5763
LTCG;Trabzon International Airport;40,99509811;39,78969955;104
LTFC;Süleyman Demirel International Airport;37,85540009;30,36840057;2835
LTFE;Milas Bodrum International Airport;37,25059891;27,66430092;21
LTFJ;Sabiha Gökçen International Airport;40,89860153;29,30920029;312
LYBE;Belgrade Nikola Tesla Airport;44,81840134;20,3090992;335
LYPG;Podgorica Airport;42,3594017;19,25189972;141
LZIB;M. R. Štefánik Airport;48,17020035;17,21269989;436
MDPC;Punta Cana International Airport;18,56739998;-68,36340332;47
MDSD;Las Américas International Airport;18,42970085;-69,66889954;59
MKJP;Norman Manley International Airport;17,93569946;-76,78749847;10
MMAA;General Juan N Alvarez International Airport;16,75709915;-99,7539978;16
MMGL;Don Miguel Hidalgo Y Costilla International Airport;20,52179909;-103,310997;5016
MMHO;General Ignacio P. Garcia International Airport;29,09589958;-111,0479965;627
MMMX;Licenciado Benito Juarez International Airport;19,43630028;-99,07209778;7316
MMMY;General Mariano Escobedo International Airport;25,7784996;-100,1070023;1278
MMPR;Licenciado Gustavo Díaz Ordaz International Airport;20,68009949;-105,2539978;23
MMSD;Los Cabos International Airport;23,15180016;-109,7210007;374
MMTJ;General Abelardo L. Rodríguez International Airport;32,54109955;-116,9700012;489
MMUN;Cancún International Airport;21,03650093;-86,87709808;22
MPTO;Tocumen International Airport;9,071359634;-79,38349915;135
MUHA;José Martí International Airport;22,98920059;-82,40910339;210
MUVR;Juan Gualberto Gomez International Airport;23,03440094;-81,43530273;210
MWCR;Owen Roberts International Airport;19,2928009;-81,35769653;8
MYNN;Lynden Pindling International Airport;25,03899956;-77,46620178;16
MZBZ;Philip S. W. Goldson International Airport;17,53910065;-88,30819702;15
NCRG;Rarotonga International Airport;-21,20269966;-159,8059998;19
NZAA;Auckland International Airport;-37,0080986;174,7920074;23
NZCH;Christchurch International Airport;-43,48939896;172,5319977;123
NZWN;Wellington International Airport;-41,32720184;174,8049927;41
OBBI;Bahrain International Airport;26,27079964;50,63359833;6
OEDF;King Fahd International Airport;26,47120094;49,79790115;72
OEDR;King Abdulaziz Air Base;26,26539993;50,15200043;84
OEJN;King Abdulaziz International Airport;21,67959976;39,15650177;48
OEMA;Prince Mohammad Bin Abdulaziz Airport;24,55340004;39,70510101;2151
OERK;King Khaled International Airport;24,95759964;46,69879913;2049
OIIE;Imam Khomeini International Airport;35,41609955;51,15219879;3305
OIII;Mehrabad International Airport;35,68920135;51,31340027;3962
OIMM;Mashhad International Airport;36,23519897;59,64099884;3263
OISS;Shiraz Shahid Dastghaib International Airport;29,53919983;52,58980179;4920
OITT;Tabriz International Airport;38,13389969;46,23500061;4459
OJAI;Queen Alia International Airport;31,72260094;35,99319839;2395
OKBK;Kuwait International Airport;29,22660065;47,96889877;206
OLBA;Beirut Rafic Hariri International Airport;33,82089996;35,48839951;87
OM-0003;Duqm Jaaluni Airport;19,50222222;57,63444444;390
OM-0004;Rustaq Airport;23,64055556;57,4875;349
OMAA;Abu Dhabi International Airport;24,43300056;54,65110016;88
OMDB;Dubai International Airport;25,25279999;55,36439896;62
OMDW;Al Maktoum International Airport;24,89666667;55,16138889;114
OMSJ;Sharjah International Airport;25,32859993;55,51720047;111
OOMS;Muscat International Airport;23,59329987;58,28440094;48
OPRN;Benazir Bhutto International Airport;33,61669922;73,09919739;1668
OPST;Sialkot Airport;32,53555679;74,3638916;837
ORBI;Baghdad International Airport;33,26250076;44,23460007;114
ORMM;Basrah International Airport;30,54910088;47,66210175;11
OSAP;Aleppo International Airport;36,18069839;37,22439957;1276
OSDI;Damascus International Airport;33,41149902;36,5155983;2020
OSLK;Bassel Al-Assad International Airport;35,40110016;35,94869995;157
PAFA;Fairbanks International Airport;64,81510162;-147,8560028;439
PANC;Ted Stevens Anchorage International Airport;61,17440033;-149,9960022;152
PGUM;Antonio B. Won Pat International Airport;13,48340034;144,7960052;298
PH-0001;Laguindingan Airport;8,612203;124,456496;190
PHNL;Honolulu International Airport;21,31870079;-157,9219971;13
PK-0001;(Under construction) New Islamabad International Airport;33,560714;72,851614;646
PR20;Michael Gonzalez Airport;18,18020058;-66,75689697;2340
QA-0001;Hamad International Airport;25,273056;51,608056;13
RCBS;Kinmen Airport;24,42790031;118,3590012;93
RCKH;Kaohsiung International Airport;22,57710075;120,3499985;31
RCTP;Taiwan Taoyuan International Airport;25,07769966;121,2330017;106
RJAA;Narita International Airport;35,76470184;140,3860016;141
RJBB;Kansai International Airport;34,4272995;135,2440033;26
RJCC;New Chitose Airport;42,77519989;141,6920013;82
RJFF;Fukuoka Airport;33,58589935;130,451004;32
RJFK;Kagoshima Airport;31,80340004;130,7189941;906
RJGG;Chubu Centrair International Airport;34,85839844;136,8049927;15
rjns;Mt. Fuji Shizuoka Airport;34,79604347;138,1877518;433
RJOO;Osaka International Airport;34,78549957;135,4380035;50
RJTT;Tokyo International Airport;35,5522995;139,7799988;35
RJTY;Yokota Air Base;35,74850082;139,3480072;463
RKJB;Muan International Airport;34,991406;126,382814;
